title,file_name,artist,album
霸王别姬,霸王别姬.mp3,,
我的好兄弟,高进_小沈阳 -我的好兄弟.mp3,高进_小沈阳,
像梦一样自由 (Live),像梦一样自由 (Live).mp3,,
Rolling In the Deep,Rolling In the Deep.mp3,,
胡笳十八拍,胡笳十八拍.mp3,,
男儿当自强,男儿当自强.mp3,,
感恩的心,韩红-感恩的心.mp3,韩红,
军中绿花,小曾-军中绿花.mp3,小曾,
绿军装的梦,军营歌曲 - 绿军装的梦.mp3,军营歌曲,
流着泪的你的脸,任贤齐-流着泪的你的脸.mp3,任贤齐,
爱江山更爱美人 (Live),爱江山更爱美人 (Live).mp3,,
当你的秀发扶过我的钢枪,军营歌曲 - 当你的秀发扶过我的钢枪.mp3,军营歌曲,
任逍遥,任贤齐 - 任逍遥.mp3,任贤齐,
自由飞翔,凤凰传奇 - 自由飞翔.mp3,凤凰传奇,
天涯,任贤齐 - 天涯.mp3,任贤齐,
朋友的酒,李晓杰-朋友的酒.mp3,李晓杰,
最炫民族风,凤凰传奇 - 最炫民族风.mp3,凤凰传奇,
渔樵问答,渔樵问答.mp3,,
因为有你,旅行团乐队-因为有你.mp3,旅行团乐队,
穿上军装的那一天,军营歌曲 - 穿上军装的那一天.mp3,军营歌曲,
当兵前的那晚上,汤非-当兵前的那晚上.mp3,汤非,
童年,卓依婷 - 童年.mp3,卓依婷,
春江花月夜,春江花月夜.mp3,,
喊一声战友,军营歌曲 - 喊一声战友.mp3,军营歌曲,
黄玫瑰,孙露-黄玫瑰.mp3,孙露,
后来,刘若英-后来.mp3,刘若英,
放羊的星星,林志颖 - 放羊的星星.mp3,林志颖,
在爱的路上走呀走,群星 - 在爱的路上走呀走.mp3,群星,
当那一天真的来临,军歌 - 当那一天真的来临.mp3,军歌,
情的人总被无情的伤,六哲-情的人总被无情的伤.mp3,六哲,
广陵散,广陵散.mp3,,
火苗,格格 - 火苗.mp3,格格,
十二生肖歌,王力宏-十二生肖歌.mp3,王力宏,
天涯,爱乐团 - 天涯.mp3,爱乐团,
姐姐,贾盛强-姐姐.mp3,贾盛强,
荷塘月色,凤凰传奇-荷塘月色.mp3,凤凰传奇,
水手,郑智化-水手.mp3,郑智化,
突然的自我,伍佰 - 突然的自我.mp3,伍佰,
梅花三弄,梅花三弄.mp3,,
谢谢你的爱,谢谢你的爱.mp3,,
懂你,群星 - 懂你.mp3,群星,
月亮之上,凤凰传奇 - 月亮之上.mp3,凤凰传奇,
当那一天来临,吴彦凝-当那一天来临.mp3,吴彦凝,
奢香夫人,凤凰传奇-奢香夫人.mp3,凤凰传奇,
在人间,王建房-在人间.mp3,王建房,
大中国,军营歌曲 - 大中国.mp3,军营歌曲,
从头再来,刘欢-从头再来.mp3,刘欢,
挪威的森林,伍佰 - 挪威的森林.mp3,伍佰,
朋友别哭,周华健 - 朋友别哭.mp3,周华健,
当你的秀发拂过我的钢枪,阎维文-当你的秀发拂过我的钢枪.mp3,阎维文,
十面埋伏,十面埋伏.mp3,,
汉宫秋月,汉宫秋月.mp3,,
成都,赵雷-成都.mp3,赵雷,
中国军魂,亮剑 - 中国军魂.mp3,亮剑,
酒干倘卖无,孙露-酒干倘卖无.mp3,孙露,
finally waiting for you,finally waiting for you.mp3,,
木棉花开的早晨,木棉花开的早晨.mp3,,
滴答,侃侃 - 滴答.mp3,侃侃,
老兵你要走,军营歌曲 - 老兵你要走.mp3,军营歌曲,
我的老班长,军歌 - 我的老班长.mp3,军歌,
海阔天空,信乐团 - 海阔天空.mp3,信乐团,
I Need You Vs I Need You,I Need You Vs I Need You.mp3,,
春天里,农民工旭日阳刚-春天里.mp3,农民工旭日阳刚,
鬼迷心窍 (Live),李宗盛-鬼迷心窍 (Live).mp3,李宗盛,
漫漫人生路,邓丽君-漫漫人生路.mp3,邓丽君,
信仰,张信哲-信仰.mp3,张信哲,
从头再来 刘欢经典 20年珍藏锦集,刘欢-从头再来 刘欢经典 20年珍藏锦集.mp3,刘欢,
铁打的营盘流水的兵,军营歌曲 - 铁打的营盘流水的兵.mp3,军营歌曲,
高三之歌,群星 - 高三之歌.mp3,群星,
我想有个家,潘美辰-我想有个家.mp3,潘美辰,
套马杆,凤凰传奇 - 套马杆.mp3,凤凰传奇,
高山流水,高山流水.mp3,,
Take Me To Your Heart,Take Me To Your Heart.mp3,,
朋友,周华健-朋友.mp3,周华健,
御龙归字谣,凤凰传奇 - 御龙归字谣.mp3,凤凰传奇,
我就是我,唐伯虎 - 我就是我.mp3,唐伯虎,
女兵谣,军营歌曲 - 女兵谣.mp3,军营歌曲,
阳春白雪,阳春白雪.mp3,,
The Mass_Era,The Mass_Era.mp3,,
精忠报国,军营歌曲 - 精忠报国.mp3,军营歌曲,
喜欢你 (藏语版),边巴德吉-喜欢你 (藏语版).mp3,边巴德吉,
我和草原有个约定,凤凰传奇 - 我和草原有个约定.mp3,凤凰传奇,
平沙落雁,平沙落雁.mp3,,
军港之夜,苏小朋-军港之夜.mp3,苏小朋,
怒放的生命,汪峰-怒放的生命.mp3,汪峰,
爱国奉献歌,军营歌曲 - 爱国奉献歌.mp3,军营歌曲,
